"AGE","STAGE","YEARS","OD_PROB_1Y","CD_PROB_1Y","OD_PROB_1M","CD_PROB_1M"
"(49,54]","Regional",8,0.0045875200683646,0.00964533256354749,0.00038309951793758,0.000807353087796558
"(49,54]","Regional",9,0.00468984125775573,0.00890287043057925,0.000391662702498241,0.00074495053484358
"(49,54]","Regional",10,0.00476116580157537,0.00849142567008909,0.000397632278065108,0.000710387823603553
"(49,54]","Distant",0,0.00428063631128406,0.222797244103282,0.000357421481804288,0.0207854431752929
"(49,54]","Distant",1,0.00507397754315486,0.259411903485359,0.000423817986872632,0.0247153386940084
"(49,54]","Distant",2,0.00555389903799941,0.200366057294511,0.000464007255237875,0.0184609064414785
"(49,54]","Distant",3,0.00591504615076888,0.151060081208083,0.000494261923020822,0.0135545371425456
"(49,54]","Distant",4,0.00621024642879409,0.117996684706134,0.000518999458168024,0.0104087388963148
"(49,54]","Distant",5,0.00646043877067837,0.096124813866127,0.000539970640299203,0.00838663402651318
"(49,54]","Distant",6,0.00667754026872169,0.0814638822718693,0.00055817206314579,0.00705615863110753
"(49,54]","Distant",7,0.00686971189242613,0.0714654786605865,0.00057428645023716,0.00615992598151893
"(49,54]","Distant",8,0.00704235033212697,0.0645448170030283,0.000588765336353547,0.00554474098194779
"(49,54]","Distant",9,0.00719922634493175,0.0597062835317723,0.000601924256388719,0.00511711176432406
"(49,54]","Distant",10,0.00730857403713814,0.0570157493338049,0.00061109757973965,0.00488019444903265
"(54,59]","Localized",0,0.00507030905208972,0.0118025853683679,0.000423510850964037,0.000988909773950386
"(54,59]","Localized",1,0.00600956013755527,0.0140462950617009,0.000502181382735611,0.00117812861734212
"(54,59]","Localized",2,0.00657768067706499,0.0104772715538753,0.000549799550816799,0.000877326971459369
"(54,59]","Localized",3,0.00700516527447159,0.00768442067625175,0.000585646495170677,0.000642634919154395
"(54,59]","Localized",4,0.0073545682273356,0.0058969157005998,0.000614956370280861,0.000492742826033954
"(54,59]","Localized",5,0.0076506841640287,0.00474921973694631,0.000639803636838465,0.000396632413477871
"(54,59]","Localized",6,0.00790762415277058,0.00399463021975333,0.000661369133873491,0.000333496883084483
"(54,59]","Localized",7,0.00813505092795197,0.00348657263277974,0.000680461798584053,0.000291013055150557
"(54,59]","Localized",8,0.00833935408782893,0.00313795099982328,0.000697616638785536,0.000261872762997939
"(54,59]","Localized",9,0.00852499803635443,0.00289567133530555,0.000713207519972281,0.000241626795416061
"(54,59]","Localized",10,0.00865439470843676,0.0027614618125128,0.000724076185374734,0.00023041359088416
"(54,59]","Regional",0,0.00488980162896158,0.0351988494589975,0.000408399567551676,0.0029816510638182
"(54,59]","Regional",1,0.0057957120563531,0.0417951279282071,0.000484263737452251,0.00355148433608199
"(54,59]","Regional",2,0.00634368080956615,0.0312883340647772,0.000530183357634884,0.00264551691482851
"(54,59]","Regional",3,0.00675600948728006,0.0230129841622871,0.000564751687092357,0.00193827884470366
"(54,59]","Regional",4,0.0070930295101731,0.0176917914758322,0.000593016149130099,0.00148640769210395
"(54,59]","Regional",5,0.00737865433670204,0.0142650398633536,0.000616977196348012,0.00119659714104603
"(54,59]","Regional",6,0.00762649364709578,0.0120076623192651,0.00063777354107919,0.00100618817354792
"(54,59]","Regional",7,0.00784586699747858,0.0104858470435812,0.000656185262579378,0.000878048531458675
"(54,59]","Regional",8,0.00804293709508219,0.0094406935603617,0.000672728283126145,0.000790149282637431
"(54,59]","Regional",9,0.00822200984062815,0.00871391439242475,0.000687763131343888,0.000729075974182369
"(54,59]","Regional",10,0.00834682699140155,0.00831116554345424,0.000698244181767227,0.000695249522515762
"(54,59]","Distant",0,0.00750577504675087,0.218610003702608,0.000627643376491904,0.0203468921485188
"(54,59]","Distant",1,0.00889416413161626,0.254655583638431,0.00074421904093358,0.0241949001620143
"(54,59]","Distant",2,0.00973364580646685,0.196545440080001,0.000814778504215852,0.0180709469823186
"(54,59]","Distant",3,0.0103651645968718,0.148091192325399,0.000867894580170891,0.0132675161253885
"(54,59]","Distant",4,0.0108812367984958,0.1156327597892,0.000911323695604094,0.0101879866367965
"(54,59]","Distant",5,0.0113185349006188,0.0941753934754986,0.000948139980431861,0.00820858924732537
"(54,59]","Distant",6,0.0116979277684085,0.0797985203278889,0.000980093297718532,0.00690626084667578
"(54,59]","Distant",7,0.012033702444527,0.0699966477981409,0.00100838237395307,0.00602900950117202
"(54,59]","Distant",8,0.0123353055838168,0.0632133393956791,0.00103380000664277,0.00542686326128194
"(54,59]","Distant",9,0.0126093370290252,0.0584714713793594,0.00105690020204818,0.0050083022634464
"(54,59]","Distant",10,0.0128003265079887,0.0558349145601029,0.00107300363385199,0.00477641062051859
"(59,64]","Localized",0,0.00675103895442919,0.0120196422883081,0.000564334895046259,0.00100719762650581
"(59,64]","Localized",1,0.00800038338744635,0.0143043157178345,0.000669155863340931,0.00119991358132543
"(59,64]","Localized",2,0.00875587814499179,0.0106700869212443,0.000732601190232551,0.000893552252510976
"(59,64]","Localized",3,0.00932425849460128,0.00782604206464421,0.000780362152238312,0.000654521228240168
"(59,64]","Localized",4,0.00978876162911235,0.00600569371206916,0.000819412974537803,0.000501857395971861
"(59,64]","Localized",5,0.0101823813888885,0.00483687820395673,0.00085251777088502,0.000403969528738779
"(59,64]","Localized",6,0.0105238938534786,0.00406838937467779,0.000881249940348883,0.000339666282494044
"(59,64]","Localized",7,0.0108261542096452,0.00355096745100314,0.000906687330703981,0.000296396657574083
"(59,64]","Localized",8,0.0110976625924138,0.00319591732428481,0.000929542795930605,0.000266717355860036
"(59,64]","Localized",9,0.0113443577106268,0.00294916873156659,0.000950314478834979,0.000246096888096181
"(59,64]","Localized",10,0.0115162988959191,0.00281248319245953,0.000964794704455318,0.000234676263769162
"(59,64]","Regional",0,0.0065108921274889,0.0358382972036363,0.000544200239295911,0.00303673451148423
"(59,64]","Regional",1,0.00771596796154073,0.0425517434102367,0.000645282553968785,0.00361707585574589
"(59,64]","Regional",2,0.00844471920020806,0.0318579191255041,0.000706465157702119,0.00269439896643486
"(59,64]","Regional",3,0.00899299269992648,0.0234337484476169,0.000752522857431104,0.00197410597083392
"(59,64]","Regional",4,0.00944107204909472,0.0180161632814118,0.000790181098815568,0.00151388877224656
"(59,64]","Regional",5,0.00982078017167254,0.014527049032523,0.000822105395024697,0.00121872340105489
"(59,64]","Regional",6,0.0101502269844328,0.0122284673477572,0.000849813020592283,0.00102479539065381
"(59,64]","Regional",7,0.0104418118528139,0.0106788193743164,0.000874343377415432,0.000894287151064543
"(59,64]","Regional",8,0.0107037335830614,0.00961452538340701,0.000896383893094099,0.000804762949299431
