"AGE","STAGE","YEARS","OD_HAZARD","OD_LOWER","OD_UPPER","CD_HAZARD","CD_LOWER","CD_UPPER"
"(44,49]","Regional",7,0.00460359209950573,0.00386684669189691,0.00548070872215879,0.0142990435265085,0.0133724505180389,0.0152898427240895
"(44,49]","Regional",8,0.00469364980143482,0.00394104680381202,0.00558997386778115,0.012787433831623,0.011945570822727,0.0136886278501838
"(44,49]","Regional",9,0.0047767434532463,0.0040093706909989,0.0056909874273447,0.0117454222677496,0.0109632144140631,0.012583439750926
"(44,49]","Regional",10,0.00483547817139415,0.0040576296485134,0.00576244043233363,0.0111719643593021,0.0104234492649807,0.0119742308397707
"(44,49]","Distant",0,0.00470660359808133,0.00392103015037254,0.00564956570004294,0.31735516473454,0.298049004646783,0.337911948968121
"(44,49]","Distant",1,0.00559843601242866,0.00466181911111406,0.00672323084384686,0.370226223920315,0.347660618138302,0.394256497115762
"(44,49]","Distant",2,0.0060750270213822,0.00505831561070645,0.00729609541711212,0.264686193307818,0.248508004867003,0.281917603471864
"(44,49]","Distant",3,0.006398180685596,0.00532811620833417,0.00768315001345699,0.190178623592846,0.178464845054959,0.202661259821915
"(44,49]","Distant",4,0.0066401753906968,0.00552968732247666,0.00797367494470364,0.143532109007369,0.134546850948234,0.153117434047131
"(44,49]","Distant",5,0.00683864983065145,0.005693654961683,0.0082139033953246,0.114041356190961,0.106744593106677,0.121836924773786
"(44,49]","Distant",6,0.00701118846710273,0.00583506507363642,0.00842437293583296,0.0948863010673165,0.0886734740989938,0.101534439721998
"(44,49]","Distant",7,0.00716524128959034,0.00596060260370594,0.00861333775071709,0.0821206825223874,0.0766305749251291,0.0880041325142638
"(44,49]","Distant",8,0.0073054112156742,0.0060743991301763,0.00878589512944797,0.07343937320115,0.0684469085928717,0.0787959897138877
"(44,49]","Distant",9,0.00743474197565321,0.00617916877371951,0.00894544087132193,0.0674550078369305,0.0628135380213461,0.0724394513565545
"(44,49]","Distant",10,0.00752615937721896,0.00625315825384129,0.00905831464228579,0.0641615879132648,0.0597184813755778,0.068935265410737
"(49,54]","Localized",0,0.00433720399256476,0.00388519626066793,0.00484180426034403,0.0205989731067699,0.0195671572870199,0.0216852247649272
"(49,54]","Localized",1,0.00515904059460677,0.00462913455555141,0.0057496063030587,0.0240307418230762,0.0228580224649261,0.0252636283117776
"(49,54]","Localized",2,0.00559822617371448,0.00502834219365099,0.00623269804243562,0.0171803215562657,0.0163558251575489,0.018046381218924
"(49,54]","Localized",3,0.0058960169974863,0.00530080081258744,0.00655806904424561,0.0123441644825551,0.0117540934920476,0.0129638578807019
"(49,54]","Localized",4,0.00611901865447109,0.00550407979628358,0.00680266108041865,0.00931642015618022,0.00886486231752348,0.00979098016430664
"(49,54]","Localized",5,0.00630191575116822,0.00566851869140083,0.00700608825930355,0.00740222655964073,0.00703392420664344,0.00778981471837933
"(49,54]","Localized",6,0.00646091262594078,0.00580957070743019,0.00718528004261357,0.00615890516709085,0.00584300322468041,0.00649188742469345
"(49,54]","Localized",7,0.00660287455301522,0.00593431382337942,0.00734675556851082,0.00533031101669082,0.00504905730189135,0.00562723247588128
"(49,54]","Localized",8,0.0067320431881848,0.00604712412631514,0.00749453879101091,0.00476682229140316,0.00450947825341722,0.00503885267081703
"(49,54]","Localized",9,0.00685122337339757,0.00615086226321691,0.0076313304569135,0.00437838751895584,0.00413808321492737,0.00463264680416577
"(49,54]","Localized",10,0.00693546584480996,0.00622409856476284,0.00772813701197522,0.00416461734605308,0.00393407434049512,0.00440867053795007
"(49,54]","Regional",0,0.00430153137090938,0.00385355268523663,0.00480159282082818,0.0593668048102663,0.0566520916946242,0.0622116914356505
"(49,54]","Regional",1,0.00511660853387096,0.00459048507200597,0.00570303210108432,0.0692572562652457,0.0661763134927457,0.0724816396637861
"(49,54]","Regional",2,0.00555218190081921,0.00498547845897159,0.00618330330733072,0.0495141573864781,0.047342433953277,0.0517855040845926
"(49,54]","Regional",3,0.00584752345556723,0.00525478880082584,0.00650711811273661,0.0355762202117166,0.034014086992288,0.0372100968075634
"(49,54]","Regional",4,0.00606869096923025,0.0054555392723191,0.00675075519820909,0.0268501781169183,0.0256455560437225,0.0281113871452341
"(49,54]","Regional",5,0.00625008377446599,0.00561787891791733,0.00695343349471371,0.0213334197316436,0.0203425786246638,0.0223725272295331
"(49,54]","Regional",6,0.0064077729322467,0.00575713941157739,0.00713193683725407,0.0177501334170613,0.0168938174294133,0.0186498585433485
"(49,54]","Regional",7,0.00654856725131316,0.00588031660787114,0.00729275936324457,0.0153621023759624,0.0145951633975755,0.0161693447299076
"(49,54]","Regional",8,0.00667667350070147,0.00599173134094064,0.00743991469502206,0.0137381124326995,0.0130333644899089,0.014480969347488
"(49,54]","Regional",9,0.00679487345310453,0.00609420586936091,0.00757609886882971,0.0126186327771908,0.0119586646880505,0.0133150234280392
"(49,54]","Regional",10,0.00687842304730498,0.00616656152878789,0.00767246112713259,0.0120025412825713,0.011368471938715,0.0126719754437035
"(49,54]","Distant",0,0.0066951001568139,0.00593420427135254,0.00755355968765504,0.340948855855594,0.325749176915671,0.35685787773928
"(49,54]","Distant",1,0.00796372353091377,0.00705344677356384,0.00899147548493013,0.397750600841664,0.379921850713334,0.416416012835043
"(49,54]","Distant",2,0.00864166984024003,0.00765288807606831,0.00975820592286044,0.284364222792973,0.271537377661677,0.297796983100561
"(49,54]","Distant",3,0.0091013529435366,0.00806146032722512,0.010275387107828,0.204317406261249,0.194961696664466,0.214122088978321
"(49,54]","Distant",4,0.00944558817692847,0.0083663092628573,0.010664097322803,0.154202968102119,0.146925793931856,0.161840610223442
"(49,54]","Distant",5,0.00972791623502233,0.00861323731748983,0.0109868510901527,0.122519732571715,0.116507434966333,0.128842326672115
"(49,54]","Distant",6,0.00997335085212762,0.00882533276668261,0.0112707058784216,0.101940599619144,0.0967353246251579,0.107425995453839
"(49,54]","Distant",7,0.0101924895695703,0.00901308447762929,0.0115262257981647,0.088225924325224,0.0835617099575412,0.0931505014612201
"(49,54]","Distant",8,0.0103918799950752,0.00918297150346085,0.0117599377320455,0.0788992052126478,0.0746131303197619,0.0834314984597215
"(49,54]","Distant",9,0.0105758518068865,0.00933923265304596,0.0119762135279857,0.0724699336876068,0.068456285098749,0.076718909807359
"(49,54]","Distant",10,0.0107058922164522,0.00944954925919054,0.0121292693446535,0.068931665275416,0.0650752999110503,0.0730165590344844
"(54,59]","Localized",0,0.00575425790029235,0.00531229102324255,0.00623300857999955,0.0213583992575137,0.0204432695275149,0.0223145318834413
"(54,59]","Localized",1,0.00684460545326812,0.00633348871045853,0.00739697036458907,0.0249166876256957,0.0238876051198821,0.0259901051348187
"(54,59]","Localized",2,0.00742728201001005,0.00688230247444145,0.00801541719556997,0.0178137116481109,0.0170950775261045,0.0185625559564553
"(54,59]","Localized",3,0.00782236723156318,0.00725780421187053,0.00843084652101962,0.012799259077249,0.0122855992774571,0.0133343950553622
"(54,59]","Localized",4,0.00811822812459077,0.00753750013759053,0.0087436984450362,0.00965989034089512,0.00926430224098469,0.0100723712627813
"(54,59]","Localized",5,0.008360881471174,0.00776242218273691,0.00900548022501017,0.00767512581505428,0.00734894022631354,0.00801579097683762
"(54,59]","Localized",6,0.0085718259008919,0.00795425471497218,0.00923734577372528,0.00638596666280699,0.00610294202646408,0.00668211811403488
"(54,59]","Localized",7,0.0087601697145122,0.00812323370038368,0.00944704769948163,0.00552682457863835,0.00527234740771588,0.00579358544778654
"(54,59]","Localized",8,0.00893154040417049,0.0082756848882237,0.00963937343466515,0.00494256161031368,0.00470798761380167,0.00518882371731511
"(54,59]","Localized",9,0.00908965921146997,0.0084157166200353,0.00981757243085743,0.00453980634128017,0.00431965566602977,0.00477117719758357
"(54,59]","Localized",10,0.00920142543401702,0.00851454799089298,0.00994371399495697,0.00431815506388205,0.00410640994247341,0.00454081872412837
"(54,59]","Regional",0,0.00570693029814671,0.0052675466155627,0.00618297632316842,0.0615554917814726,0.0592255716062253,0.0639772046343495
"(54,59]","Regional",1,0.0067883099640236,0.0062782985046812,0.00733975213666312,0.0718105763392111,0.0692031651711797,0.0745162323604211
"(54,59]","Regional",2,0.00736619412446788,0.00682059161032982,0.00795544201497772,0.0513396049831341,0.049514701261093,0.0532317677576777
"(54,59]","Regional",3,0.00775802985034262,0.00719106888661497,0.0083696917329109,0.0368878153011105,0.0355736030857686,0.0382505803147334
"(54,59]","Regional",4,0.00805145734763469,0.00746667173959034,0.00868204304768415,0.0278400685987605,0.0268146611525887,0.0289046936874127
"(54,59]","Regional",5,0.00829211491974181,0.0076882320594627,0.0089434307241671,0.0221199228619224,0.0212620736140356,0.0230123904573108
